SERIAL_NUMBER,USE_TIME,FAIL
X1000_20220601_14,2022-08-18 15:37:57,0.0
X1000_20220601_85,2022-08-26 12:28:20,0.0
X1000_20220601_32,2022-08-05 09:18:57,0.0
X1000_20220601_73,2022-07-23 15:27:19,0.0
X1000_20220601_18,2022-07-29 16:29:55,0.0
X1000_20220601_20,2022-08-24 10:50:30,0.0
X1000_20220601_26,2022-07-31 10:21:31,1.0
X1000_20220601_55,2022-07-25 09:45:38,0.0
X1000_20220601_74,2022-07-29 14:03:30,0.0
X1000_20220601_71,,
X1000_20220601_12,2022-07-23 12:59:32,0.0
X1000_20220601_37,2022-08-22 13:57:05,0.0
X1000_20220601_77,2022-07-09 11:22:36,0.0
X1000_20220601_36,2022-08-03 19:24:59,1.0
X1000_20220601_34,2022-07-14 12:11:40,0.0
X1000_20220601_22,2022-07-28 09:07:28,0.0
X1000_20220601_49,2022-07-25 17:51:22,0.0
X1000_20220601_8,2022-07-20 18:31:49,0.0
X1000_20220601_21,2022-08-02 08:38:55,0.0
X1000_20220601_4,2022-08-06 17:00:58,0.0
X1000_20220601_17,2022-08-08 08:42:00,0.0
X1000_20220601_19,2022-07-01 12:06:59,0.0
X1000_20220601_56,2022-07-23 18:42:40,0.0
X1000_20220601_43,2022-07-15 15:00:03,0.0
X1000_20220601_40,2022-08-13 17:55:19,0.0
X1000_20220601_38,2022-07-14 19:28:23,0.0
X1000_20220601_13,2022-06-22 13:19:51,0.0
,,
X1000_20220601_9,2022-07-18 15:33:57,0.0
X1000_20220601_7,2022-07-30 16:42:51,0.0
X1000_20220601_70,2022-08-01 11:16:54,0.0
X1000_20220601_39,2022-08-27 15:34:15,1.0
X1000_20220601_63,2022-08-14 17:54:37,0.0
X1000_20220601_5,2022-08-06 14:28:46,0.0
X1000_20220601_76,2022-07-12 12:02:17,0.0
X1000_20220601_81,2022-07-08 16:25:52,1.0
X1000_20220601_57,2022-09-12 08:18:54,0.0
X1000_20220601_53,2022-08-29 12:30:39,0.0
X1000_20220601_65,2022-06-22 19:00:56,0.0
,,
X1000_20220601_79,2022-07-28 17:34:43,0.0
X1000_20220601_30,2022-08-18 16:36:20,0.0
X1000_20220601_75,2022-08-16 10:17:37,0.0
X1000_20220601_31,2022-08-10 10:32:56,0.0
X1000_20220601_47,2022-08-25 10:24:33,1.0
X1000_20220601_86,2022-07-31 12:23:49,0.0
X1000_20220601_59,2022-07-18 13:48:59,1.0
X1000_20220601_68,2022-08-03 18:50:34,0.0
X1000_20220601_67,2022-08-05 11:31:54,0.0
X1000_20220601_11,,
X1000_20220601_45,2022-08-14 11:24:58,0.0
X1000_20220601_46,2022-08-02 12:29:36,0.0
X1000_20220601_52,2022-08-08 13:14:46,0.0
,,
X1000_20220601_82,2022-08-01 09:43:19,0.0
,,
X1000_20220601_83,2022-08-04 15:03:07,0.0
,,
X1000_20220601_33,2022-07-22 19:04:48,0.0
X1000_20220601_61,2022-06-22 11:23:58,0.0
X1000_20220601_84,2022-09-19 17:32:21,0.0
X1000_20220601_58,2022-08-02 13:11:56,0.0
X1000_20220601_41,2022-07-17 17:49:08,0.0
X1000_20220601_62,2022-07-23 16:57:37,0.0
X1000_20220601_2,2022-08-05 17:57:00,0.0
X1000_20220601_88,2022-08-23 10:33:15,0.0
X1000_20220601_16,2022-07-23 08:18:58,0.0
X1000_20220601_25,2022-07-28 14:35:50,0.0
X1000_20220601_23,2022-08-03 11:35:12,0.0
,,
X1000_20220602_54,2022-07-12 16:53:15,0.0
X1000_20220602_66,2022-07-15 19:13:09,0.0
X1000_20220602_11,2022-08-19 17:47:36,0.0
X1000_20220602_46,2022-07-24 13:49:06,0.0
0000000000000000,2000-01-01 12:00:00,1.0
X1000_20220602_7,2022-07-16 17:04:18,0.0
X1000_20220602_32,2022-07-05 16:07:51,0.0
X1000_20220602_75,2022-08-02 12:48:24,0.0
X1000_20220602_44,2022-08-01 14:22:35,0.0
X1000_20220602_34,2022-09-28 16:12:35,1.0
X1000_20220602_15,2022-07-29 14:37:11,0.0
X1000_20220602_35,2022-07-21 08:31:33,0.0
X1000_20220602_19,2022-07-29 11:55:50,0.0
X1000_20220602_5,,
X1000_20220602_24,2022-08-01 08:48:18,0.0
X1000_20220602_20,2022-08-03 17:24:56,0.0
X1000_20220602_16,2022-07-01 18:28:49,0.0
X1000_20220602_71,2022-06-23 13:03:30,0.0
X1000_20220602_25,2022-07-02 16:19:15,0.0
X1000_20220602_10,2022-07-09 10:38:01,0.0
X1000_20220602_62,2022-09-05 13:22:13,0.0
X1000_20220602_41,2022-06-23 08:32:25,0.0
X1000_20220602_26,2022-06-30 10:15:34,0.0
X1000_20220602_37,2022-08-26 19:06:22,0.0
X1000_20220602_47,2022-08-06 09:29:54,0.0
X1000_20220602_82,2022-09-04 15:22:46,0.0
X1000_20220602_89,2022-08-01 12:02:24,0.0
X1000_20220602_3,2022-07-12 13:17:24,1.0
X1000_20220602_45,2022-08-14 18:17:02,0.0
X1000_20220602_12,2022-07-28 14:00:07,0.0
X1000_20220602_52,2022-07-06 10:38:33,0.0
X1000_20220602_84,2022-07-15 18:08:32,0.0
X1000_20220602_51,,
X1000_20220602_80,2022-07-22 16:18:14,0.0
X1000_20220602_68,2022-09-02 13:18:29,0.0
X1000_20220602_53,2022-07-10 15:48:54,0.0
X1000_20220602_67,2022-07-22 10:21:44,0.0
X1000_20220602_61,2022-07-10 08:55:51,0.0
X1000_20220602_39,2022-07-26 18:25:39,0.0
X1000_20220602_56,2022-08-22 08:33:36,0.0
,,
X1000_20220602_4,2022-07-30 19:59:49,0.0
X1000_20220602_48,2022-08-07 12:39:24,0.0
X1000_20220602_81,2022-07-14 13:20:56,0.0
X1000_20220602_55,2022-07-16 08:01:46,0.0
X1000_20220602_90,2022-08-08 15:28:27,0.0
X1000_20220602_43,2022-07-06 08:04:00,0.0
X1000_20220602_49,2022-09-07 12:15:14,0.0
X1000_20220602_77,2022-07-31 17:37:54,0.0
X1000_20220602_38,2022-08-12 08:12:03,0.0
X1000_20220602_70,2022-07-16 11:04:01,0.0
